"jointType","x","y","z","time"
10,0.273915231,-0.3676721,1.92938626,23
11,0.286896646,-0.3798184,1.86196959,23
12,-0.03840201,-0.461545378,2.03943253,23
13,-0.0272888523,-0.7025327,1.86271846,23
14,0.04537731,-0.9913815,1.97080982,23
15,0.15397653,-1.02892518,1.9356792,23
16,0.09846821,-0.473316938,2.03338933,23
17,0.0323120281,-0.742076159,1.914111,23
18,0.129695252,-1.02657437,1.94620275,23
19,0.09812056,-1.09460759,1.93466592,23
20,0.04886568,-0.0192799736,2.18401551,23
21,-0.167449623,-0.575576842,1.99750781,23
22,-0.140253291,-0.5132232,2.0036962,23
23,0.301807761,-0.3908378,1.816139,23
24,0.2954285,-0.41400227,1.86250007,23
0,0.03711512,-0.479243815,2.073403,24
1,0.05067734,-0.217433184,2.14686847,24
2,0.06404091,0.0377588831,2.20788383,24
3,0.109385833,0.157701626,2.226906,24
4,-0.07782353,-0.07642116,2.18011737,24
5,-0.150378525,-0.300234824,2.16036439,24
6,-0.178189516,-0.464357644,2.06739235,24
7,-0.171473473,-0.5077814,2.03513765,24
8,0.208224669,-0.102480836,2.180894,24
9,0.2183474,-0.29971236,2.11456132,24
10,0.275986,-0.370199859,1.94255471,24
11,0.292171478,-0.3740511,1.876763,24
12,-0.03093255,-0.4633506,2.04184031,24
